SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000471a276f0000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4606d...,2026-04-10T04:01:41.914664
AASR,48:4c:29:a6:b5:88,9,-68,25.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800008e37aa9b0000000000029909a000bc00000080000000ffffffffffff484c29a6b588484c29a6b588b0b1...,2026-04-10T04:01:41.956230
AASR,48:4c:29:a6:b5:88,9,-74,50.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000ebc02a6f0000000000029e09a000b600000080000000ffffffffffff484c29a6b588484c29a6b588d0b1...,2026-04-10T04:01:42.156835
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 59m,00001a002f4800006ece2b6f0000000000029e09a000b800000080000000ffffffffffff58be727ea0c458be727ea0c4906d...,2026-04-10T04:01:42.216750
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 34m,00001a002f48000092e7ae9b0000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588e0b1...,2026-04-10T04:01:42.247708
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000425f2d6f0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4a06d...,2026-04-10T04:01:42.318598
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000ecc0b79b000000000002a309a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4f06d...,2026-04-10T04:01:42.851426
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f4800003105be9b000000000002a809a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4306e...,2026-04-10T04:01:43.240643
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,,2026-04-10T04:01:43.458562
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 27m,00001a002f4800009810c39b0000000000026c09a000bc00000080000000ffffffffffff609bb42b503c609bb42b503cc0a3...,2026-04-10T04:01:43.570743
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800004d36068f0000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c70f6...,2026-04-10T04:01:43.597132
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000aacb12e10000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c80f6...,2026-04-10T04:01:43.713671
