SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000646af5690000000000029409a000b600000080000000ffffffffffff58be727ea0c458be727ea0c43038...,2026-04-10T04:00:14.762758
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f4800008d177a960000000000029409a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588d07b...,2026-04-10T04:00:14.914410
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 33m,00001a002f4800000b11f9690000000000029409a000b800000080000000ffffffffffff484c29a6b588484c29a6b588e07b...,2026-04-10T04:00:15.010878
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000eba0fa690000000000029409a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588f07b...,2026-04-10T04:00:15.106271
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000edc0fd690000000000029909a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588107c...,2026-04-10T04:00:15.310741
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000afd1fe690000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c49038...,2026-04-10T04:00:15.396990
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000707783960000000000029909a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588307c...,2026-04-10T04:00:15.519086
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f4800005dea016a0000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4b038...,2026-04-10T04:00:15.583223
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000940785960000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588407c...,2026-04-10T04:00:15.615306
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 58m,00001a002f4800005a7a036a0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4c038...,2026-04-10T04:00:15.700255
Nora,58:be:72:7f:6c:5c,11,-76,63.1,WPA,N/A,Unknown,6d 12h 51m,00001a002f480000976087960000000000029e09a000b400000080000000ffffffffffff58be727f6c5c58be727f6c5c5062...,2026-04-10T04:00:15.773409
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 58m,00001a002f4800006b83a4790000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4d038...,2026-04-10T04:00:15.791422
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000852788960000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588607c...,2026-04-10T04:00:15.818765
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000579a066a0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4e038...,2026-04-10T04:00:15.887605
OMAR,58:be:72:3f:05:64,11,-78,79.43,WPA,N/A,Unknown,4d 3h 39m,00001a002f48000046478a960000000000029e09a000b200000080000000ffffffffffff58be723f056458be723f0564800f...,2026-04-10T04:00:15.971599
AASR,48:4c:29:a6:b5:88,9,-78,79.43,WPA,N/A,Unknown,6d 17h 33m,00001a002f4800001c31c387000000000002a309a000b200000080000000ffffffffffff484c29a6b588484c29a6b588907c...,2026-04-10T04:00:16.138823
Nora,58:be:72:7f:6c:5c,11,-76,63.1,WPA,N/A,Unknown,6d 12h 51m,00001a002f4800000b090b6a000000000002a309a000b400000080000000ffffffffffff58be727f6c5c58be727f6c5c9062...,2026-04-10T04:00:16.179511
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f48000066c3aa79000000000002a309a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c41039...,2026-04-10T04:00:16.197238
Nora,58:be:72:7f:6c:5c,11,-74,50.12,WPA,N/A,Unknown,6d 12h 51m,00001a002f480000c6c79096000000000002a309a000b600000080000000ffffffffffff58be727f6c5c58be727f6c5cb062...,2026-04-10T04:00:16.401526
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f4800004b24b479000000000002a809a000b600000080000000ffffffffffff58be727ea0c458be727ea0c47039...,2026-04-10T04:00:16.816765
Hidden,60:9b:b4:2b:50:3c,2,-72,39.81,WPA2,N/A,Unknown,1d 12h 26m,00001a002f480000dadc9d960000000000026c09a000b800000080000000ffffffffffff609bb42b503c609bb42b503c306f...,2026-04-10T04:00:17.242943
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f4800005303e1890000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20ce0bf...,2026-04-10T04:00:17.270280
